episode,epsilon,average_cumulative_reward
36,0.3,50.30085257052922
37,0.3,51.64947637721665
38,0.3,50.514087994663875
39,0.3,53.4119618311682
40,0.3,56.13097127299008
41,0.3,48.83699006656018
42,0.3,49.74056710880421
43,0.3,49.549713529307546
44,0.3,51.23298561582065
45,0.3,53.034064148282965
46,0.3,51.767885189514885
47,0.3,50.45254760255017
48,0.3,50.87636509291695
49,0.3,54.47438334300675
50,0.3,54.506691760875526
51,0.3,55.33293226659564
52,0.3,47.75725096028338
53,0.3,50.995775602093424
54,0.3,50.737396713234375
55,0.3,53.3034190560138
56,0.3,53.176053302503014
57,0.3,48.75925366096645
58,0.3,51.11289047155664
59,0.3,54.43920783021791
60,0.3,50.65832252748883
61,0.3,57.64307206876375
62,0.3,48.4438155079301
63,0.3,53.20022042033653
64,0.3,55.015211879018
65,0.3,51.25002873965816
66,0.3,53.671694868776925
67,0.3,55.22462290534067
68,0.3,54.15598631028095
69,0.3,53.40164022959993
70,0.3,51.06003408979785
71,0.3,51.48004494806595
72,0.3,51.368855097136404
73,0.3,47.9044379641852
74,0.3,51.40831473592402
75,0.3,50.94640464041861
76,0.3,55.309254607806686
77,0.3,54.66743338895057
78,0.3,52.906346218385096
79,0.3,45.290090376765136
80,0.3,47.01041861189534
81,0.3,48.40387334710018
82,0.3,49.19440926160678
83,0.3,55.59662504398832
84,0.3,48.54659413115918
85,0.3,53.94678349591214
86,0.3,50.789581146378175
87,0.3,50.69290566969283
88,0.3,46.899543487893396
89,0.3,51.02113898501559
90,0.3,49.52615337007629
91,0.3,49.61443975859746
92,0.3,52.839910977850614
93,0.3,51.01359789810255
94,0.3,49.48959425265734
95,0.3,55.12939595346708
96,0.3,49.86691551317397
97,0.3,55.44531623676588
98,0.3,55.091679581340806
99,0.3,50.935035695953694
100,0.3,53.52978010702872
101,0.3,53.20972627186825
102,0.3,51.732705296352506
103,0.3,49.50770923386308
104,0.3,53.15818971704119
105,0.3,48.596566412546096
106,0.3,50.022539948959185
107,0.3,48.561659552555966
108,0.3,49.71496344527791
109,0.3,53.56026488320475
110,0.3,48.49848224243149
111,0.3,52.630612530313165
112,0.3,55.40913244005385
113,0.3,53.4334776689522
114,0.3,47.46002234936656
115,0.3,53.92612999325051
116,0.3,52.74951434507589
117,0.3,48.416435834304046
118,0.3,50.38036501731617
119,0.3,53.85185901937831
120,0.3,54.686802002028074
121,0.3,55.782097977298015
122,0.3,51.5751934567026
123,0.3,52.74579815785088
124,0.3,51.80466345411712
125,0.3,51.796743324839674
126,0.3,51.959993147218746
127,0.3,56.570959985660004
128,0.3,56.85375581821829
129,0.3,53.05969635946485
130,0.3,55.891269155166
131,0.3,52.815070733623216
132,0.3,49.3491137226046
133,0.3,53.68379937066532
134,0.3,53.49172106472718
135,0.3,51.907923311795656
136,0.3,50.72087163718342
137,0.3,53.22696611286275
138,0.3,53.33940254919655
139,0.3,54.86261023835259
140,0.3,52.98559406041451
141,0.3,52.47968068048193
142,0.3,56.61791745464895
143,0.3,53.819954775020996
144,0.3,50.03542992973754
145,0.3,55.13821832012547
146,0.3,57.65927345324712
147,0.3,51.77939489265444
148,0.3,47.949814302747946
149,0.3,49.500469681699435
150,0.3,50.077132989246486
151,0.3,49.65440463722706
152,0.3,54.13161742701404
153,0.3,54.27478327442763
154,0.3,51.90587752038713
155,0.3,53.69253458357863
156,0.3,52.33535504570572
157,0.3,48.36640854878903
158,0.3,55.26409958978233
159,0.3,49.56267192471366
160,0.3,48.236370527845445
161,0.3,54.11093957965825
162,0.3,51.89888307098063
163,0.3,51.68919885526224
164,0.3,56.83299286386605
165,0.3,48.65056767033756
166,0.3,54.417907976397245
167,0.3,51.993620230547556
168,0.3,51.61766781775299
169,0.3,50.963321856404484
170,0.3,53.08385207439579
171,0.3,49.789209199738295
172,0.3,50.61023870688068
173,0.3,52.15471284283468
174,0.3,51.77060306612063
175,0.3,52.560075677750675
176,0.3,51.68668473501089
177,0.3,50.05698431166355
178,0.3,51.496023854738326
179,0.3,52.008244158243826
180,0.3,54.101618648883296
181,0.3,52.82780277551851
182,0.3,54.03994490304655
183,0.3,53.14308872522559
184,0.3,51.87185874169394
185,0.3,57.20460005336947
186,0.3,46.499026674743654
187,0.3,45.381480481919205
188,0.3,52.08567268998577
189,0.3,50.59948050603622
190,0.3,54.1802706903523
191,0.3,54.01241102300955
192,0.3,52.198595698553135
193,0.3,52.597054402591574
194,0.3,50.42360743973502
195,0.3,52.8937854550968
196,0.3,49.57537892042372
197,0.3,52.23298713084689
198,0.3,50.17973588345801
199,0.3,57.54436774898127
0,0.5,25.3942489854117
1,0.5,-0.18982042914174518
2,0.5,5.748602937375025
3,0.5,7.909839625039915
4,0.5,13.618721846792772
5,0.5,11.637389125319173
6,0.5,26.68542000695535
7,0.5,25.2806075998929
8,0.5,25.916607369596033
9,0.5,38.15350868583736
10,0.5,42.91937789185508
11,0.5,45.031186643241824
12,0.5,38.40634749633782
13,0.5,40.45918841763165
14,0.5,43.681577035482924
15,0.5,47.3127572472872
16,0.5,42.93317822282292
17,0.5,36.56151507437533
18,0.5,44.50880603697131
19,0.5,41.93624358302074
20,0.5,46.277588043413395
21,0.5,42.720040238570455
22,0.5,38.85263178125553
23,0.5,44.31497619471189
24,0.5,35.850974063505795
25,0.5,40.98230083719711
26,0.5,41.83973502451383
27,0.5,43.317031777649305
28,0.5,41.5575925435913
29,0.5,45.43304998719103
30,0.5,50.58826849368268
31,0.5,48.58000405433566
32,0.5,42.02184466534858
33,0.5,47.147132531860734
34,0.5,45.70769971980968
35,0.5,49.802667023125835
36,0.5,48.539701189170984
37,0.5,48.46163087692945
38,0.5,48.077134205007766
39,0.5,48.09264261066212
40,0.5,50.35796693371403
41,0.5,43.229839884140226
42,0.5,42.14056187951213
43,0.5,48.352459030669564
44,0.5,40.888277973898155
45,0.5,46.56971420022839
46,0.5,46.558053770687664
47,0.5,41.37513920486494
48,0.5,42.12534959496384
49,0.5,47.51429532362559
50,0.5,45.060888615930416
51,0.5,49.131742716081256
52,0.5,47.046814874301
53,0.5,50.2370886077003
54,0.5,40.65844542800708
55,0.5,50.635576621956936
56,0.5,38.20791172809357
57,0.5,40.50520507023848
58,0.5,40.9622831217163
59,0.5,49.3515382101138
60,0.5,51.488873098021784
61,0.5,47.59991684322414
62,0.5,39.27449726953576
63,0.5,43.06725367023969
64,0.5,48.77210576519078
65,0.5,43.41908345428465
66,0.5,48.61897121007823
67,0.5,43.757033022095996
68,0.5,43.92604242326225
